Type,Planned For,Filed Against,ID,Requirement Type,Summary,Severity,Customer Impact,State,Customer Name,Region,Tag,Owner,Priority,FMEA Total,Creation Date,Resolution date,Modification Time
Issue,Designer Rev1.12.0 Sprint2,DIAStudio/DIADesigner,541990,Anomaly,[JIRA] (程式編輯) [IABGVOC-1186] MC_MoveVelocity和MC_MoveAbsolute功能块，修改Direction脚位数值时，BufferMode脚位数值会受影响。,Critical,High,Closed,韓軼,IA Internal-SC,"programming_lang_ld_monitor, 1.12.0_initial, issue2auto_todo, escape, userstory_yes, testcase_done, jira_voc_sc",ELVIS.CT.CHANG 張錦宗,High,600,2025/9/23 下午 5:12,2025/12/22 上午 10:11,2026/5/14 下午 7:18
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,541982,Anomaly,[JIRA] (程式編輯) [IABGVOC-1189] MC_DigitalCamSwitch功能块，自动生成变量，编译报错。,Major,Medium,Closed,韓軼,IA Internal-SC,"programming_glovar, 1.12.0_initial, issue2auto_todo, userstory_yes, escape, testcase_done, jira_voc_sc",LUCIAN.LS.OUYANG 歐陽龍祥,High,240,2025/9/23 下午 5:01,2025/12/8 下午 4:29,2026/4/21 下午 6:16
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,541239,Anomaly,[JIRA] (程式編輯) [IABGVOC-1183] [W3A] Designer bool變數配置Address，執行時狀態會顯示TO DO,Major,High,Closed,楊政達,IA Internal-IMSBU,"programming_lang_st_monitor, jira_voc_ims, 1.12.0_initial, userstory_yes, testcase_done",KF.LIU 劉桂輔,High,400,2025/9/19 上午 9:21,2026/1/8 下午 3:35,2026/5/14 下午 7:18
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,540979,Anomaly,[JIRA] (調適) [IABGVOC-1182] 開啟示波器過程中軟體會偶發閃退問題,Critical,High,Closed,辛昱錦,IA Internal-SC,"jira_voc_sc, oscilloscope, w3a, 1.12.0_initial, escape, userstory_yes, testcase_done",JOHNNY.MC.YEH 葉明勳,High,120,2025/9/18 上午 9:45,2026/3/17 下午 2:58,2026/4/21 下午 6:16
Issue,Designer Rev1.15.0 Plan,DIAStudio/DIADesigner,538366,Anomaly,[JIRA] (程式編輯) [IABGVOC-2032] Ladder Expression 輸出接點狀態顯示異常 (Online Monitor Phase2),Critical,High,Review,One SW; 郭德山,IA Internal-SC,"programming_lang_ld_monitor, w3a, 1.12.0_add, jira_voc_sc, step_control",UNI.CHEN 陳軍宇,High,600,2025/9/3 下午 2:37,,2026/5/8 上午 9:29
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,535689,Anomaly,[JIRA] (專案管理) [IABGVOC-1116] %IX0.0被占用了，但是搜索程序未设置%IX0.0，怀疑是软件搜索功能不健全的问题，硬件占用未体现,Blocker,High,Closed,趙俊明,DGC-China,"jira_voc_dgc, 1.12.0_add, issue2auto_todo, userstory_yes, diadesigner_edit_searchreplace, testcase_done",KF.LIU 劉桂輔,High,1000,2025/8/19 上午 9:48,2026/1/7 下午 7:49,2026/4/21 下午 6:16
Issue,Designer Rev1.11.0 Sprint3,DIAStudio/DIADesigner,535245,Anomaly,[JIRA](調適) [IABGVOC-1132] 在Monitor Table的修改值欄位輸入值並按兩下Enter，重新下載後變數值會變成修改值,Critical,High,Closed,鄧亨禮,IA Internal-CoreTech,"jira_voc_mok, programming_monitable, 1.11.0_add, issue2auto_done, issue2auto_todo, w3a",STEWARD.LU 呂名峰,High,600,2025/8/15 上午 9:27,2025/10/29 下午 6:11,2026/1/12 下午 7:08
Issue,Unassigned,DIAStudio/DIADesigner,534067,Anomaly,[JIRA] (程式編輯) [IABGVOC-1119] 问题：在Online模式下控制扩充模块，新增监控表-情况1：监控变量（空白）情况2：监控寄存器%QB53(报错未将对象引用设置到对象的实例) - JIRA of Delta Electronics,Blocker,High,Closed,趙俊明,DGC-China,"jira_voc_dgc, programming_var_ecat, w3a",Unassigned,High,1000,2025/8/12 上午 9:28,2025/8/12 上午 9:48,2025/10/16 下午 1:20
Issue,Designer Rev1.11.0 Sprint3,DIAStudio/DIADesigner,533939,Anomaly,[JIRA] (網路配置) [IABGVOC-1117] 问题：添加ASRTU-EC16AP1TA+06XA+16AP模块-设定AIO模块的输出通道模式-输出通道无法更改为0-10V - JIRA of Delta Electronics,Blocker,High,Closed,趙俊明,DGC-China,"jira_voc_dgc, devnetwork_ethercat, issue2auto_todo",WILLIAM.HC.SHEN 沈桓慶,High,1000,2025/8/11 下午 4:22,2025/9/1 上午 9:15,2026/1/12 下午 7:07
Issue,Unassigned,DIAStudio/DIADesigner,533858,Anomaly,"[JIRA] (硬體配置) [IABGVOC-1113] DIADesigner软件-新旧软件升级后，原能用程序，报错0X1000, 变量APP1不可删除及修改 - JIRA of Delta Electronics",Blocker,High,Closed,趙俊明,DGC-China,"jira_voc_dgc, devhardware_layout, w3a",Unassigned,High,1000,2025/8/11 下午 2:48,2025/8/15 上午 9:35,2025/10/16 下午 1:20
Issue,Designer Rev1.11.0 Sprint2,DIAStudio/DIADesigner,530775,Anomaly,[JIRA] (模組編輯) [IABGVOC-1091] DIADesigner 1.11.0.31_Trial设置的断电保持区结束地址，软件关闭之后，会恢复原默认值,Blocker,High,Closed,陳會杰,IA Internal-SC,"parameter_editor, jira_voc_sc",ARCHIE.YANG 楊浩群,High,1000,2025/7/29 上午 11:12,2025/8/13 上午 11:10,2025/10/30 下午 5:20
Issue,Unassigned,DIAStudio/DIADesigner,530171,Anomaly,[JIRA] (專案管理) [IABGVOC-1079] 把軟件從：DIADesigner 1.10.0.93退回到：DIADesigner 1.9.0.39 SP4_Trial版本_專案程序打開提示錯誤：文件内容损坏,Critical,High,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, diadesigner_file_load",Unassigned,High,600,2025/7/24 下午 1:47,2025/9/23 上午 9:24,2025/9/23 上午 9:24
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,528538,Anomaly,[JIRA] (程式編輯) [IABGVOC-1054] DIADesigner软件上传W3A程序及配置无法上传,Major,Medium,Verification,趙俊明,DGC-China,"jira_voc_dgc, 1.14.0_initial",ARCHIE.YANG 楊浩群,High,240,2025/7/18 上午 10:11,,2026/5/13 下午 2:54
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,528535,Anomaly,[JIRA] (程式編輯) [IABGVOC-1056] MC_CamTableSelect指令里camts_CamPoints自动生成的ANY为不合法的数据类型,Major,Medium,Closed,趙俊明,DGC-China,"jira_voc_dgc, 1.12.0_initial, issue2auto_todo, userstory_yes, testcase_done, issue_reject",ELVIS.CT.CHANG 張錦宗,High,240,2025/7/18 上午 10:08,2026/1/19 下午 1:59,2026/4/21 下午 6:16
Issue,Designer Rev1.14.0 Sprint2,DIAStudio/DIADesigner,528531,Anomaly,[JIRA] (程式編輯) [IABGVOC-1058] 功能块实例必须自己手敲，才会确认，不智能，应该可以自己自动代入,Major,Medium,In Progress,趙俊明,DGC-China,"jira_voc_dgc, 1.14.0_initial",LUCIAN.LS.OUYANG 歐陽龍祥,High,240,2025/7/18 上午 10:06,,2026/5/12 下午 2:14
Issue,Designer Rev1.11.0 Sprint1,DIAStudio/DIADesigner,528236,Anomaly,[JIRA] (模組編輯) [IABGVOC-1067] 程序区变量监控遇到ARRAY [*] OF BYTE数组导致后面程序无法监控,Blocker,High,Closed,郭德山,IA Internal-SC,"jira_voc_sc, programming_lang_st_monitor, 1.11.0_add, issue2auto_todo, w3a, step_control",KF.LIU 劉桂輔,High,1000,2025/7/17 上午 9:07,2025/7/24 上午 10:29,2026/5/14 下午 7:18
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,527679,Anomaly,[JIRA] (模組編輯) [IABGVOC-1061] VAR RETAIN/RETAIN_M 問題反饋 (3/3),,,,,,Critical,,,,,,
Issue,Designer Rev1.11.0 Sprint1,DIAStudio/DIADesigner,527569,Anomaly,[JIRA] (程式編輯) [IABGVOC-1063] ST POU 內的監控格失效 (3/3),Critical,High,Closed,陳威仲,IA Internal-CoreTech,"jira_voc_mok, programming_lang_st_monitor, 1.11.0_initial, te_checked, issue2auto_manual",KF.LIU 劉桂輔,High,600,2025/7/14 下午 4:55,2025/7/23 上午 10:12,2026/1/12 下午 7:07
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,524836,Anomaly,[JIRA] (程式編輯) [IABGVOC-1015] FC函数调用POU区经常提示相关引脚变量未声明,Major,Medium,Closed,郭德山,IA Internal-SC,"jira_voc_sc, programming_lang_st_edit, te_checked, 1.12.0_initial, userstory_yes, testcase_done, step_control",KF.LIU 劉桂輔,High,240,2025/7/1 上午 11:41,2026/1/8 下午 2:19,2026/4/21 下午 6:16
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,523637,Anomaly,[JIRA] (調適) [IABGVOC-1000] 结构体的成员用右键添加到示波器变量通道，开启示波器时会提示错误,Major,Medium,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, oscilloscope, 1.12.0_initial, escape, userstory_yes",JOHNNY.MC.YEH 葉明勳,High,240,2025/6/19 上午 10:33,2025/12/10 下午 2:38,2026/5/8 下午 3:44
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,523307,Anomaly,[JIRA] (程式編輯) [IABGVOC-997] 不同的操作手順，建立的数组上升沿功能：比如：若带DL_Corner.会编译报错 - JIRA of Delta Electronics,Minor,Low,Closed,陳會杰,IA Internal-SC,"jira_voc_sc, programming_variabletable, 1.12.0_initial, userstory_yes, testcase_done",HARVEY.XIE 謝孟軒,High,80,2025/6/17 下午 5:33,2025/12/12 下午 1:36,2026/4/21 下午 6:16
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,522471,Anomaly,[JIRA] (程式編輯) [IABGVOC-977] 与设备断线后软体还显示在线状态,Major,Low,In Progress,郭德山,IA Internal-SC,"jira_voc_sc, 1.12.0_initial, plan1.13.0, 1.13.0_initial, w3a, userstory_yes, testcase_done, communication_setting",XAVIERA.FAN 范珮欣,Medium,64,2025/6/12 上午 9:40,,2026/5/8 下午 5:52
Issue,Designer Rev1.14.0 Sprint1,DIAStudio/DIADesigner,522213,Anomaly,[JIRA] (程式編輯) [IABGVOC-975] 線上監控有時監控數值會為空，但斷電重啟後則可正常監控,Critical,Medium,Review & Approval,郭德山,IA Internal-SC,"jira_voc_sc, programming_lang_st_monitor, te_checked, escape, te_track, 1.14.0_initial, userstory_yes, testcase_done",STEWARD.LU 呂名峰,Medium,144,2025/6/11 上午 10:51,2026/4/22 下午 4:42,2026/4/22 下午 4:42
Issue,Designer Rev1.13.0 Sprint1,DIAStudio/DIADesigner,520961,Anomaly,[JIRA] (專案管理) [IABGVOC-965] 软件关闭时出现：无效的窗口句柄_页面无法关闭,Critical,Low,Closed,陳會杰,IA Internal-SC,"diadesigner_file_save, jira_voc_sc, efficacy, jy_todo, issue2auto_todo, te_track",JASON.JY.LIN 林峻宇,Medium,48,2025/6/5 上午 9:26,2026/3/17 上午 9:43,2026/5/8 下午 4:50
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,520738,Anomaly,[JIRA] (程式編輯) [IABGVOC-961] POU中添加函数，函数引脚无赋值符，引脚无相关说明,Major,High,Closed,郭德山,IA Internal-SC,"programming_lang_st_edit, jira_voc_sc, te_checked, 1.11.0_initial, issue2auto_todo, 1.12.0_initial, userstory_yes, testcase_done, step_control",KF.LIU 劉桂輔,High,400,2025/6/4 上午 9:03,2026/3/13 上午 10:42,2026/4/21 下午 6:12
Issue,Designer Rev1.11.0 Sprint3,DIAStudio/DIADesigner,519064,Anomaly,[JIRA] (調適) [IABGVOC-611] 示波器采样频率选择不对，启动示波器时无法抓取数据，且无任何提示,Critical,Medium,Closed,郭德山,IA Internal-SC,"jira_voc_sc, oscilloscope, te_checked, plan1.11.0, 1.11.0_initial, issue2auto_manual",JOHNNY.MC.YEH 葉明勳,High,360,2025/5/23 下午 5:12,2025/9/3 上午 10:12,2025/10/30 下午 5:21
Issue,Unassigned,DIAStudio/DIADesigner,518088,Anomaly,[JIRA] (程式編輯) [IABGVOC-935] online之後，數值都呈現空白,Critical,High,Closed,蔡弘晉,IA Internal-CoreTech,"programming_lang_st_monitor, jira_voc_mok, te_checked",KF.LIU 劉桂輔,High,360,2025/5/20 下午 5:50,2025/6/19 下午 5:45,2026/5/14 下午 7:08
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,517956,Anomaly,[JIRA] (專案管理) [IABGVOC-933] 有勾选上下载完成后自动关闭，偶尔出现对话框没有关闭,Minor,Remote,Closed,陳會杰,IA Internal-SC,"downloaduploadmgr, jira_voc_sc, 1.12.0_initial, escape, userstory_yes, testcase_done",JOHNNY.MC.YEH 葉明勳,High,40,2025/5/20 下午 1:11,2025/12/15 下午 2:26,2026/4/21 下午 6:16
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,517915,Anomaly,[JIRA] (運動控制) [IABGVOC-931] 轴组态界面位置显示精度设定默认值,Minor,Low,Closed,郭德山,IA Internal-SC,"motion_axisset, jira_voc_sc, 1.12.0_initial, userstory_yes, testcase_done, step_control",JACKY.TU 杜寧,High,40,2025/5/20 上午 11:30,2025/12/29 下午 2:22,2026/5/13 下午 4:55
Issue,Designer Rev1.12.0 Sprint2,DIAStudio/DIADesigner,517303,Anomaly,[JIRA] (硬體配置) [IABGVOC-184] Issue 397353 - R2-EC0902模块，选择连接变量，目前只能通过新增变量的方式，不能选择既有变量,Major,Medium,Closed,蔡弘晉,IA Internal-SC,"devhardware_layout_moduletable_iomap, jira_voc_mok, 1.12.0_add, userstory_yes, testcase_done",WILLIAM.HC.SHEN 沈桓慶,Medium,16,2025/5/16 上午 11:34,2025/12/8 下午 4:15,2026/4/21 下午 6:16
Issue,Designer Rev1.12.0 Sprint1,DIAStudio/DIADesigner,517302,Anomaly,[JIRA] (專案管理) [IABGVOC-559] 下载程序后选择运行状态但是显示有时候会是停止状态,Minor,Low,Closed,辛昱錦,IA Internal-SC,"downloaduploadmgr, jira_voc_sc, 1.12.0_initial, escape, userstory_yes, testcase_done",XAVIERA.FAN 范珮欣,Low,32,2025/5/16 上午 11:34,2025/12/15 下午 2:26,2026/4/21 下午 6:16
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,517301,Anomaly,[JIRA] (專案管理) [IABGVOC-615] 未知原因，第一次下载提示未知错误，再点击一次就可以下载OK了 - JIRA of Delta Electronics,Minor,Low,Closed,陳會杰,IA Internal-SC,"downloaduploadmgr, jira_voc_sc, issue2auto_todo, 1.12.0_add, userstory_yes, testcase_done",XAVIERA.FAN 范珮欣,Medium,16,2025/5/16 上午 11:34,2026/3/4 下午 12:10,2026/4/21 下午 6:16
Issue,Designer Rev1.11.0 Sprint1,DIAStudio/DIADesigner,517300,Anomaly,[JIRA] (硬體配置) [IABGVOC-714] 裝置錯誤與資訊的清除 Log 紀錄功能失效，導致軟體卡死 (3/3),Blocker,High,Closed,陳會杰,IA Internal-SC,"deverrorinfo, 1.10.0_add, jira_voc_sc, 1.11.0_initial, issue2auto_todo",STEWARD.LU 呂名峰,High,400,2025/5/16 上午 11:34,2025/9/1 下午 12:58,2025/10/30 下午 5:21
Issue,Unassigned,DIAStudio/DIADesigner,517299,Anomaly,[JIRA] (程式編輯) [IABGVOC-719] 梯形图的数组结构体下标没有自动带出，ST语法是可以自动带出,Minor,Low,Closed,陳會杰,IA Internal-SC,"programming_lang_ld, jira_voc_sc",Unassigned,High,80,2025/5/16 上午 11:34,2025/5/20 上午 9:57,2026/5/14 下午 7:09
Issue,Designer Rev1.13.0 Sprint1,DIAStudio/DIADesigner,517298,Anomaly,[JIRA] (專案管理) [IABGVOC-768] 软件有时双击时，进度条的小圈圈转一下之后，就没有了，并没有真正进入打开专案,Blocker,Remote,Closed,陳會杰,IA Internal-SC,"diadesigner_file_load, jira_voc_sc, te_cantrepro, te_track",JASON.JY.LIN 林峻宇,High,200,2025/5/16 上午 11:34,2026/3/10 上午 11:55,2026/4/21 下午 6:12
Issue,Designer Rev1.12.0 Sprint3,DIAStudio/DIADesigner,517297,Anomaly,[JIRA] (調適) [IABGVOC-811] 不下载程序，直接切到在线，监控表的变量无法显示,Major,High,Closed,陳會杰,IA Internal-SC,"programming_monitable, key_issue, plan1.11.0, jira_voc_sc, 1.12.0_add, escape, not_top10_issue, userstory_yes, testcase_done",STEWARD.LU 呂名峰,High,400,2025/5/16 上午 11:34,2026/1/27 下午 5:03,2026/4/21 下午 6:16
Issue,Designer Rev1.9.0 SP4 Sprint2,DIAStudio/DIADesigner,517296,Anomaly,[JIRA] (程式編輯) [IABGVOC-831] 程序POU的名称无法用剪切,Minor,Remote,Closed,陳會杰,IA Internal-SC,"programming_poutype_prg, jira_voc_sc",Unassigned,Medium,16,2025/5/16 上午 11:34,2025/5/16 上午 11:42,2026/5/18 下午 6:52
Issue,Designer Rev1.11.0 Sprint2,DIAStudio/DIADesigner,517295,Anomaly,[JIRA] [efficacy] (專案管理) [IABGVOC-854] 关闭软件有时候时间很长，会长达30S之久，我和会杰都出现过这样的问题 - JIRA of Delta Electronics,Critical,High,Closed,辛昱錦,IA Internal-SC,"efficacy, jira_voc_sc, te_checked, autotest_running, 1.11.0_add, autotest_detect",KF.LIU 劉桂輔,Medium,16,2025/5/16 上午 11:34,2025/8/13 上午 11:44,2025/10/30 下午 5:21
Issue,Designer Rev1.13.0 Sprint2,DIAStudio/DIADesigner,517294,Anomaly,[JIRA] (調適) [IABGVOC-867] 監控表效能優化,Critical,High,Closed,辛昱錦,IA Internal-SC,"programming_monitable, jira_voc_sc, plan1.11.0, jy_todo, efficacy, 1.13.0_add, userstory_yes, testcase_done, 1.13.0_rc",STEWARD.LU 呂名峰,Medium,16,2025/5/16 上午 11:34,2026/3/30 下午 2:27,2026/5/8 下午 3:42
Issue,Unassigned,DIAStudio/DIADesigner,517293,Anomaly,[JIRA] (程式編輯) 若 LD 下的 instance 敲錯時錯誤不明顯,Major,Medium,Closed,陳軍宇,IA Internal-SC,"programming_lang_ld, jira_voc_mok",ELVIS.CT.CHANG 張錦宗,Medium,16,2025/5/16 上午 11:34,2025/6/16 下午 5:33,2025/6/16 下午 5:33
Issue,Unassigned,DIAStudio/DIADesigner,517205,Anomaly,[JIRA] (程式編輯) Issue 407223 - 软件在线监控时，能否右键快速搜索，查询到该变量在全部程序使用的地方,Critical,High,Closed,蔡弘晉,IA Internal-CoreTech,"programming_lang, jira_voc_mok",Unassigned,High,600,2025/5/15 下午 7:13,2025/5/16 上午 10:02,2025/6/9 上午 11:58
Issue,Designer Rev1.9.0 SP4 Sprint2,DIAStudio/DIADesigner,517204,Anomaly,[JIRA] (程式編輯) [IABGVOC-202] Issue 432885 - 梯形图当采用书写Ld b无法带出对应变量显示,Major,Low,Closed,陳會杰,IA Internal-SC,"programming_lang, jira_voc_sc",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:03,2026/5/18 下午 6:53
Issue,Unassigned,DIAStudio/DIADesigner,517203,Anomaly,[JIRA] ASDA SOFT软件VM P0.000此处参数有时会不显示参数,Minor,Remote,Closed,陳會杰,IA Internal-SC,jira_voc_sc,Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:04,2025/6/9 下午 1:36
Issue,Unassigned,DIAStudio/DIADesigner,517202,Anomaly,[JIRA] (專案管理) CORNER-2313 - DIADesigner 1.2.3 SP1 下载异常- 下载失败、开启文件失败,Critical,High,Closed,蔡弘晉,IA Internal-SC,"downloaduploadmgr, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/6/18 下午 2:26,2025/6/18 下午 2:26
Issue,Unassigned,DIAStudio/DIADesigner,517201,Anomaly,[JIRA] (網路配置) CORNER-2322 - DIADesinger SP1 V1.2.3出現ECAT_MASTER_REF 型態錯誤,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"devnetwork_ethercat, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:05,2025/6/9 下午 1:42
Issue,Designer Rev1.9.0 SP4 Sprint2,DIAStudio/DIADesigner,517200,Anomaly,[JIRA] (程式編輯) CORNER-2323 - DIA Designer SP1 V1.2.3 模擬器環境無法編譯成功,Critical,High,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,High,600,2025/5/15 下午 7:13,2025/5/16 上午 10:07,2026/5/18 下午 6:48
Issue,Designer Rev1.9.0 SP4 Sprint2,DIAStudio/DIADesigner,517199,Anomaly,[JIRA] (程式編輯) [IABGVOC-228] CORNER-2325 - DIA Designer SP1 V1.2的應用專案無法在SP1 V1.2.3 編譯成功,Critical,High,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,High,600,2025/5/15 下午 7:13,2025/5/16 上午 10:15,2026/5/18 下午 6:51
Issue,Unassigned,DIAStudio/DIADesigner,517198,Anomaly,[JIRA] (程式編輯) CORNER-2359 - DIADesignerSP1 V1.2.3 能正常编译下载测试的程序，软体关闭后再重开就编译不过了,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:15,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517197,Anomaly,[JIRA] (程式編輯) CORNER-2414 - 編譯顯示缺少文件，導致編譯錯誤，無法下載,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:16,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517196,Anomaly,[JIRA] (專案管理) CORNER-2329 - 重載測試下，DIA Designer下載專案失敗，通訊錯誤,Major,Low,Closed,蔡弘晉,IA Internal-SC,"downloaduploadmgr, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:17,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517195,Anomaly,[JIRA] (調適) CORNER-2449 - 示波器有概率无法开启,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"oscilloscope, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:17,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517194,Anomaly,[JIRA] (調適) CORNER-2450 - 容易出現開啟示波器後，未知原因導致程式線上失敗，然後無法再運行,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"oscilloscope, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:18,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517193,Anomaly,[JIRA] (專案管理) CORNER-2329 - DIADesigner 1.2.3 SP1 下载异常- 下载失败、通讯错误,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"downloaduploadmgr, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:18,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517192,Anomaly,[JIRA] (網路配置) CORNER-2444 - EtherCAT Master測試時，R2-EC0902D0的測試發現有某個規則會導致PDO沒有送出,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"devnetwork_ethercat, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:19,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517191,Anomaly,[JIRA] (程式編輯) CORNER-2481 - 編譯錯誤 : Internal error in the Corner Compiler,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:19,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517190,Anomaly,[JIRA] (網路配置) CORNER-2444 - R2-EC0902 IO模组使用异常,Major,Low,Closed,蔡弘晉,IA Internal-SC,"devnetwork_ethercat, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:20,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517189,Anomaly,[JIRA] (程式編輯) CORNER-2419 - 新增ANY_BIT和ANY_INT變量異常導致編譯錯誤,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:21,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517188,Anomaly,[JIRA] (程式編輯) CORNER-2470 - DL_MC.MC_GenerateVDICamTable的Points引腳變數，顯示編譯錯誤,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:22,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517187,Anomaly,[JIRA] (程式編輯) CORNER-2511 - ST寫法在綫監控時，出現無法點擊鼠標改變TRUE/FALSE狀態,Major,Low,Closed,蔡弘晉,IA Internal-SC,"programming_lang_st, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:22,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517186,Anomaly,[JIRA] (調適) 示波器一直顯示數據擷取中，無法停止,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"oscilloscope, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:23,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517185,Anomaly,[JIRA] (網路配置) CORNER-2319 - 缺少EherCat从站连线状况的监视,Major,Low,Closed,蔡弘晉,IA Internal-SC,"devnetwork_ethercat, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:33,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517184,Anomaly,[JIRA] (程式編輯) Issue 375899 - 对轴名称类型（AXIS_REF）进行定义时出现错误，结构体无法生效,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"programming_lang, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:34,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517183,Anomaly,[JIRA] (程式編輯) CORNER-2479 - 監控軸狀態的變量無法放在全域變量，會編譯報錯,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:37,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517182,Anomaly,[JIRA] (程式編輯) CORNER-2486 - 在软体上新增电子凸轮E-Cam表，编译出现报错,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"programming_compile, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:36,2025/6/9 下午 1:42
Issue,Unassigned,DIAStudio/DIADesigner,517181,Anomaly,[JIRA] (網路配置) CORNER-2510 - R1-EC5621D0的PDO映射功能不完整,Critical,Medium,Closed,蔡弘晉,IA Internal-SC,"devnetwork_ethercat, jira_voc_mok",Unassigned,Medium,16,2025/5/15 下午 7:13,2025/5/16 上午 10:36,2025/6/9 下午 1:42
